|    |                                                                                   Наименование |            Формат |                                                                                                                                                                                                                                                                                                                                                       Ссылка  | Кому было бы полезно?            |
|----|------------------------------------------------------------------------------------------------|-------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|:---------------------------------|
| 0  | Всё про Selenium/Selenium WebDriver                                                            | nan               | https://selenium2.ru/                                                                                                                                                                                                                                                                                                                                         | автоматизаторам                  |
| 1  | Мануал по xPath                                                                                | документ          | https://docs.google.com/document/d/1PdfKMDfoqFIlF4tN1jKrOf1iZ1rqESy2xVMIj3uuV3g/pub                                                                                                                                                                                                                                                                           | автоматизаторам                  |
| 2  | Библия QA                                                                                      | статьи            | https://github.com/VladislavEremeev/QA_bible                                                                                                                                                                                                                                                                                                                  | начинающим                       |
| 3  | Небольшой ликбез по нагрузочному (методология)                                                 | статья            | https://xwizard-test.blogspot.ru/2015/01/blog-post_30.html                                                                                                                                                                                                                                                                                                    | всем                             |
| 4  | Список книг по всем видам тестирования, управлению проектами, тест-менеджменту и многое другое | статья            | http://okiseleva.blogspot.ru/2014/02/blog-post_6.html                                                                                                                                                                                                                                                                                                         | всем                             |
| 5  | Плагины для Firefox                                                                            | видео             | https://www.youtube.com/watch?v=ZRorJHShXzs&feature=youtu.be                                                                                                                                                                                                                                                                                                  | всем                             |
| 6  | Читлист для веб (уязвимости)                                                                   | статья            | https://defcon.ru/web-security/4349/                                                                                                                                                                                                                                                                                                                          | nan                              |
| 7  | вопросы про тестирование с собеседований                                                       | статья            | https://habrahabr.ru/post/257529/                                                                                                                                                                                                                                                                                                                             | начинающим                       |
| 8  | Большой ресурс по тестированию                                                                 | статья            | https://www.software-testing.ru/                                                                                                                                                                                                                                                                                                                              | всем                             |
| 9  | Требования к джунам (Хабр)=                                                                    | статья            | https://habrahabr.ru/company/rambler-co/blog/303254/                                                                                                                                                                                                                                                                                                          | nan                              |
| 10 | Полный чек-лист тестирования веб-приложения                                                    | статья            | http://software-testing.ru/library/testing/testing-for-beginners/2478-complete-web-application-testing-checklist                                                                                                                                                                                                                                              | начинающим                       |
| 11 | Практика SoapUI/Rest API                                                                       | практика          | http://okiseleva.blogspot.ru/2017/04/users-soap-rest.html                                                                                                                                                                                                                                                                                                     | всем                             |
| 12 | Основы Agile (Борис Вольфсон, AgileDays-2015)                                                  | видео             | https://vimeo.com/123181716                                                                                                                                                                                                                                                                                                                                   | всем                             |
